timestamp,x,y,z,yaw,steering_angle,speed
1771422765.654802,5.966558456420898,-9.547504425048828,1.1433451175689697,-0.050812885903940196,0.0,0.0
1771422765.704565,5.966558456420898,-9.547504425048828,1.1433451175689697,-0.050812885903940196,0.0,0.0
1771422765.75452,5.9627838134765625,-9.553977012634277,1.1492400169372559,-0.05116078757815682,0.0,0.0
1771422765.804484,5.9627838134765625,-9.553977012634277,1.1492400169372559,-0.05116078757815682,0.0,0.0
1771422765.854632,5.971499919891357,-9.551722526550293,1.1467437744140625,-0.05091332541158604,0.0,0.0
1771422765.904496,5.971499919891357,-9.551722526550293,1.1467437744140625,-0.05091332541158604,0.0,0.0
1771422765.954572,5.970308780670166,-9.551097869873047,1.1479501724243164,-0.050919594967591006,0.0,0.0
1771422766.004564,5.970308780670166,-9.551097869873047,1.1479501724243164,-0.050919594967591006,0.0,0.0
1771422766.054484,5.970308780670166,-9.551097869873047,1.1479501724243164,-0.050919594967591006,0.0,0.0
1771422766.10449,5.972344398498535,-9.551368713378906,1.1475831270217896,-0.050678849578131055,0.0,0.0
1771422766.154567,5.964010715484619,-9.552241325378418,1.1485246419906616,-0.051147262778376154,0.0,0.0
1771422766.204538,5.964010715484619,-9.552241325378418,1.1485246419906616,-0.051147262778376154,0.0,0.0
1771422766.254874,5.969195365905762,-9.549334526062012,1.1474723815917969,-0.05078363675397536,0.0,0.0
1771422766.304522,5.969195365905762,-9.549334526062012,1.1474723815917969,-0.05078363675397536,0.0,0.0
1771422766.354573,5.969195365905762,-9.549334526062012,1.1474723815917969,-0.05078363675397536,0.0,0.0
1771422766.404542,5.9693217277526855,-9.551283836364746,1.1508862972259521,-0.05088872179813086,0.0,0.0
1771422766.454548,5.970248699188232,-9.545459747314453,1.1482148170471191,-0.05090218948876933,0.0,0.0
1771422766.504532,5.970248699188232,-9.545459747314453,1.1482148170471191,-0.05090218948876933,0.0,0.0
1771422766.554503,5.970248699188232,-9.545459747314453,1.1482148170471191,-0.05090218948876933,0.0,0.0
1771422766.604508,5.968594074249268,-9.553690910339355,1.1501067876815796,-0.05104857424845947,0.0,0.0
1771422766.654522,5.964841365814209,-9.549357414245605,1.1489853858947754,-0.05124686621329317,0.0,0.0
1771422766.704565,5.964841365814209,-9.549357414245605,1.1489853858947754,-0.05124686621329317,0.0,0.0
1771422766.75448,5.96238899230957,-9.55274772644043,1.1485008001327515,-0.05081777910967161,0.0,0.0
1771422766.804593,5.96238899230957,-9.55274772644043,1.1485008001327515,-0.05081777910967161,0.0,0.0
1771422766.854512,5.963151454925537,-9.547513961791992,1.1446110010147095,-0.05096714177094039,0.0,0.0
1771422766.904517,5.963151454925537,-9.547513961791992,1.1446110010147095,-0.05096714177094039,0.0,0.0
1771422766.954454,5.954550743103027,-9.554438591003418,1.1460306644439697,-0.05103190265708286,0.0,0.0
1771422767.0047,5.954550743103027,-9.554438591003418,1.1460306644439697,-0.05103190265708286,0.0,0.0
1771422767.054465,5.959007740020752,-9.547968864440918,1.1442357301712036,-0.05094009862398804,0.0,0.0
1771422767.104643,5.959007740020752,-9.547968864440918,1.1442357301712036,-0.05094009862398804,0.0,0.0
1771422767.154507,5.964489936828613,-9.551727294921875,1.1473184823989868,-0.051105556059811284,0.0,0.0
1771422767.204497,5.964489936828613,-9.551727294921875,1.1473184823989868,-0.051105556059811284,0.0,0.0
1771422767.254457,5.96182107925415,-9.548929214477539,1.14374577999115,-0.05132347431009532,0.0,0.0
1771422767.304487,5.96182107925415,-9.548929214477539,1.14374577999115,-0.05132347431009532,0.0,0.0
1771422767.354417,5.963508605957031,-9.552986145019531,1.1476490497589111,-0.051027288306426805,0.0,0.0
1771422767.404543,5.963508605957031,-9.552986145019531,1.1476490497589111,-0.051027288306426805,0.0,0.0
1771422767.454594,5.962067604064941,-9.550018310546875,1.1477655172348022,-0.05104299225869928,0.0,0.0
1771422767.504536,5.962067604064941,-9.550018310546875,1.1477655172348022,-0.05104299225869928,0.0,0.0
1771422767.554888,5.958225727081299,-9.556239128112793,1.146234393119812,-0.05113265229436922,0.0,0.0
1771422767.604503,5.958225727081299,-9.556239128112793,1.146234393119812,-0.05113265229436922,0.0,0.0
1771422767.654436,5.962729454040527,-9.547163009643555,1.1450436115264893,-0.05083150466632155,0.0,0.0
1771422767.704385,5.962729454040527,-9.547163009643555,1.1450436115264893,-0.05083150466632155,0.0,0.0
1771422767.7544,5.96314001083374,-9.552435874938965,1.141926646232605,-0.050599017007116893,0.0,0.0
1771422767.804434,5.96314001083374,-9.552435874938965,1.141926646232605,-0.050599017007116893,0.0,0.0
1771422767.854507,5.9620137214660645,-9.547959327697754,1.1485806703567505,-0.051304218748753065,0.0,0.0
1771422767.904463,5.9620137214660645,-9.547959327697754,1.1485806703567505,-0.051304218748753065,0.0,0.0
1771422767.954485,5.964832305908203,-9.552165031433105,1.1439837217330933,-0.050634374496637845,0.0,0.0
1771422768.004451,5.964832305908203,-9.552165031433105,1.1439837217330933,-0.050634374496637845,0.0,0.0
1771422768.054434,5.958585739135742,-9.548563957214355,1.1422820091247559,-0.05076377509049293,0.0,0.0
1771422768.104442,5.958585739135742,-9.548563957214355,1.1422820091247559,-0.05076377509049293,0.0,0.0
1771422768.154448,5.959177017211914,-9.554128646850586,1.1414910554885864,-0.050831770204413984,0.0,0.0
1771422768.204447,5.959177017211914,-9.554128646850586,1.1414910554885864,-0.050831770204413984,0.0,0.0
1771422768.254408,5.968273639678955,-9.551959991455078,1.149787187576294,-0.05116324543100963,0.0,0.0
1771422768.304383,5.968273639678955,-9.551959991455078,1.149787187576294,-0.05116324543100963,0.0,0.0
1771422768.354374,5.96276330947876,-9.548527717590332,1.1429007053375244,-0.050857942061311154,0.0,0.0
1771422768.404371,5.96276330947876,-9.548527717590332,1.1429007053375244,-0.050857942061311154,0.0,0.0
1771422768.454368,5.965461254119873,-9.548242568969727,1.146754503250122,-0.05114586219895732,0.0,0.0
1771422768.504387,5.965461254119873,-9.548242568969727,1.146754503250122,-0.05114586219895732,0.0,0.0
1771422768.554427,5.964670181274414,-9.55068302154541,1.1440725326538086,-0.05113998797256579,0.0,0.0
1771422768.604375,5.964670181274414,-9.55068302154541,1.1440725326538086,-0.05113998797256579,0.0,0.0
1771422768.654384,5.967314720153809,-9.55277156829834,1.1471188068389893,-0.05081112914170513,0.0,0.0
1771422768.705859,5.967314720153809,-9.55277156829834,1.1471188068389893,-0.05081112914170513,0.0,0.0
1771422768.754381,5.958943843841553,-9.55635929107666,1.14254629611969,-0.05089835575001602,0.0,0.0
1771422768.804427,5.958943843841553,-9.55635929107666,1.14254629611969,-0.05089835575001602,0.0,0.0
1771422768.854414,5.959026336669922,-9.553216934204102,1.14152991771698,-0.05099434390551929,0.0,0.0
1771422768.904395,5.959026336669922,-9.553216934204102,1.14152991771698,-0.05099434390551929,0.0,0.0
1771422768.954413,5.959525108337402,-9.549894332885742,1.1426433324813843,-0.05087888569612732,0.0,0.0
1771422769.004437,5.959525108337402,-9.549894332885742,1.1426433324813843,-0.05087888569612732,0.0,0.0
1771422769.054462,5.968692302703857,-9.550274848937988,1.1474251747131348,-0.050999293777119245,0.0,0.0
1771422769.10453,5.968692302703857,-9.550274848937988,1.1474251747131348,-0.050999293777119245,0.0,0.0
1771422769.154491,5.968692302703857,-9.550274848937988,1.1474251747131348,-0.050999293777119245,0.0,0.0
1771422769.204436,5.967317581176758,-9.550867080688477,1.1453588008880615,-0.05089410738334656,0.0,0.0
1771422769.254446,5.967317581176758,-9.550867080688477,1.1453588008880615,-0.05089410738334656,0.0,0.0
1771422769.304456,5.968461036682129,-9.553077697753906,1.1475242376327515,-0.050822150422450835,0.0,0.0
1771422769.354502,5.968461036682129,-9.553077697753906,1.1475242376327515,-0.050822150422450835,0.0,0.0
1771422769.404397,5.961330413818359,-9.556442260742188,1.141835331916809,-0.051175919911994536,0.0,0.0
1771422769.454446,5.961330413818359,-9.556442260742188,1.141835331916809,-0.051175919911994536,0.0,0.0
1771422769.504405,5.966211795806885,-9.555341720581055,1.1436612606048584,-0.05090189185136447,0.0,0.0
1771422769.554435,5.966211795806885,-9.555341720581055,1.1436612606048584,-0.05090189185136447,0.0,0.0
1771422769.604438,5.96138334274292,-9.55606746673584,1.1500401496887207,-0.0512537276877423,0.0,0.0
1771422769.654389,5.962672710418701,-9.551810264587402,1.1405504941940308,-0.050863187510723294,0.0,0.0
1771422769.704374,5.962672710418701,-9.551810264587402,1.1405504941940308,-0.050863187510723294,0.0,0.0
1771422769.754359,5.967956066131592,-9.553077697753906,1.14500892162323,-0.05091072080121862,0.0,0.0
1771422769.804468,5.967956066131592,-9.553077697753906,1.14500892162323,-0.05091072080121862,0.0,0.0
1771422769.85441,5.967956066131592,-9.553077697753906,1.14500892162323,-0.05091072080121862,0.0,0.0
1771422769.904407,5.967036247253418,-9.551772117614746,1.1475987434387207,-0.05105438761164691,0.0,0.0
1771422769.954409,5.967036247253418,-9.551772117614746,1.1475987434387207,-0.05105438761164691,0.0,0.0
1771422770.004451,5.968245983123779,-9.544812202453613,1.1400052309036255,-0.05088512217110768,0.0,0.0
1771422770.054399,5.968245983123779,-9.544812202453613,1.1400052309036255,-0.05088512217110768,0.0,0.0
1771422770.104413,5.972666263580322,-9.550518035888672,1.1469875574111938,-0.0508701978452151,0.0,0.0
1771422770.154456,5.972666263580322,-9.550518035888672,1.1469875574111938,-0.0508701978452151,0.0,0.0
1771422770.204485,5.972320556640625,-9.546545028686523,1.1443300247192383,-0.05098316432446452,0.0,0.0
1771422770.254432,5.972320556640625,-9.546545028686523,1.1443300247192383,-0.05098316432446452,0.0,0.0
1771422770.304437,5.963604927062988,-9.552971839904785,1.1419711112976074,-0.050862002059407004,0.0,0.0
1771422770.354462,5.963604927062988,-9.552971839904785,1.1419711112976074,-0.050862002059407004,0.0,0.0
1771422770.404527,5.962893009185791,-9.553997039794922,1.145709753036499,-0.05077582695040305,0.0,0.0
1771422770.454584,5.962893009185791,-9.553997039794922,1.145709753036499,-0.05077582695040305,0.0,0.0
1771422770.504518,5.96354866027832,-9.558477401733398,1.1445612907409668,-0.050952780983003224,0.0,0.0
1771422770.554426,5.96354866027832,-9.558477401733398,1.1445612907409668,-0.050952780983003224,0.0,0.0
1771422770.604446,5.967930793762207,-9.55154800415039,1.14228093624115,-0.051022170017005236,0.0,0.0
1771422770.65446,5.967930793762207,-9.55154800415039,1.14228093624115,-0.051022170017005236,0.0,0.0
1771422770.704541,5.961687088012695,-9.551762580871582,1.1470705270767212,-0.051308350374517385,0.0,0.0
1771422770.754454,5.961687088012695,-9.551762580871582,1.1470705270767212,-0.051308350374517385,0.0,0.0
1771422770.804373,5.965145587921143,-9.553868293762207,1.1442898511886597,-0.051140155391574356,0.0,0.0
1771422770.854403,5.965145587921143,-9.553868293762207,1.1442898511886597,-0.051140155391574356,0.0,0.0
1771422770.904454,5.964293479919434,-9.556851387023926,1.1470253467559814,-0.050693674137548154,0.0,0.0
1771422770.954474,5.964293479919434,-9.556851387023926,1.1470253467559814,-0.050693674137548154,0.0,0.0
1771422771.004462,5.962715148925781,-9.547892570495605,1.1411359310150146,-0.05104663693205557,0.0,0.0
1771422771.054443,5.962715148925781,-9.547892570495605,1.1411359310150146,-0.05104663693205557,0.0,0.0
1771422771.10453,5.960694313049316,-9.553865432739258,1.1432002782821655,-0.05077975812023978,0.0,0.0
1771422771.154494,5.960694313049316,-9.553865432739258,1.1432002782821655,-0.05077975812023978,0.0,0.0
1771422771.204427,5.968052864074707,-9.550640106201172,1.1463618278503418,-0.05092814488259966,0.0,0.0
1771422771.254439,5.968052864074707,-9.550640106201172,1.1463618278503418,-0.05092814488259966,0.0,0.0
1771422771.304379,5.972815036773682,-9.549016952514648,1.1448973417282104,-0.05087529612903793,0.0,0.0
